,image number,image_name,condition,time when it onsets
0,15,FACE_70,Face,189.77649610000117
0,16,FACE_67,Face,190.29033300000083
0,17,FACE_44,Face,190.80535489999966
0,18,FACE_32,Face,191.31776619999982
0,19,FACE_42,Face,191.83155129999977
0,20,FACE_69,Face,192.34347630000048
0,1,SC32,scene,202.86661240000103
0,2,SC39,scene,203.38028640000084
0,3,SC57,scene,203.8943565999998
0,4,SC10,scene,204.4072269999997
0,5,SC42,scene,204.92151550000017
0,6,SC33,scene,205.43295519999992
0,7,SC34,scene,205.94508119999955
0,8,SC22,scene,206.45929520000027
0,9,SC68,scene,206.97384480000073
0,10,SC35,scene,207.48604540000088
0,11,SC16,scene,208.00034159999996
0,12,SC73,scene,208.51449330000105
0,13,SC36,scene,209.0267844000009
0,14,SC29,scene,209.5413535000007
0,15,SC18,scene,210.05486159999964
0,16,SC76,scene,210.56740499999978
0,17,SC62,scene,211.07994580000013
0,18,SC13,scene,211.59273030000077
0,19,SC43,scene,212.10599320000074
0,20,SC45,scene,212.6184013000002
0,1,SCR_FACE_69,scrambled,223.14017590000003
0,2,SCR_FACE_30,scrambled,223.65213779999976
0,3,SCR_FACE_20,scrambled,224.16657440000017
0,4,SCR_FACE_9,scrambled,224.68015970000124
0,5,SCR_FACE_42,scrambled,225.1932723000009
0,6,SCR_FACE_31,scrambled,225.70730820000063
0,7,SCR_FACE_51,scrambled,226.21952539999984
0,8,SCR_FACE_3,scrambled,226.7333204000006
0,9,SCR_FACE_29,scrambled,227.24693169999955
0,10,SCR_FACE_15,scrambled,227.76083459999973
0,11,SCR_FACE_35,scrambled,228.2750243999999
0,12,SCR_FACE_73,scrambled,228.78751620000003
0,13,SCR_FACE_11,scrambled,229.3009173999999
0,14,SCR_FACE_57,scrambled,229.81488590000117
0,15,SCR_FACE_55,scrambled,230.32743219999975
0,16,SCR_FACE_71,scrambled,230.84048729999995
0,17,SCR_FACE_10,scrambled,231.35309810000035
0,18,SCR_FACE_53,scrambled,231.8668374000008
0,19,SCR_FACE_14,scrambled,232.38117650000095
0,20,SCR_FACE_52,scrambled,232.89483459999974
0,1,FACE_6,Face,243.4166978000012
0,2,FACE_62,Face,243.92932389999987
0,3,FACE_64,Face,244.44420639999953
0,4,FACE_31,Face,244.95926040000086
0,5,FACE_51,Face,245.47235770000043
0,6,FACE_36,Face,245.98506780000025
0,7,FACE_19,Face,246.50016380000125
0,8,FACE_15,Face,247.01497100000051
0,9,FACE_4,Face,247.53049640000063
0,10,FACE_77,Face,248.0450477000013
0,11,FACE_74,Face,248.5608650000013
0,12,FACE_17,Face,249.074399000001
0,13,FACE_71,Face,249.58712379999997
0,14,FACE_24,Face,250.10016590000123
0,15,FACE_56,Face,250.61332140000013
0,16,FACE_54,Face,251.12863720000132
0,17,FACE_53,Face,251.64149850000103
0,18,FACE_55,Face,252.15456600000107
0,19,FACE_14,Face,252.66807400000107
0,20,FACE_52,Face,253.18118649999997
0,1,SC39,scene,263.70653830000083
0,2,SC11,scene,264.2218943000007
0,3,SC23,scene,264.73598479999964
0,4,SC56,scene,265.2505895000013
0,5,SC72,scene,265.76362900000095
0,6,SC28,scene,266.27914580000106
0,7,SC50,scene,266.7918401000006
0,8,SC51,scene,267.3051828000007
0,9,SC65,scene,267.8189478000004
0,10,SC20,scene,268.3321472000007
0,11,SC17,scene,268.84502150000117
0,12,SC61,scene,269.35868409999966
0,13,SC6,scene,269.8712665000003
0,14,SC8,scene,270.3850758000008
0,15,SC57,scene,270.89842560000034
0,16,SC42,scene,271.4128404000003
0,17,SC60,scene,271.92668140000023
0,18,SC48,scene,272.4405278000013
0,19,SC46,scene,272.9533081999998
0,20,SC68,scene,273.4663975000003
0,1,SCR_FACE_27,scrambled,283.9902202000012
0,2,SCR_FACE_48,scrambled,284.50448510000024
0,3,SCR_FACE_56,scrambled,285.0194945000003
0,4,SCR_FACE_14,scrambled,285.5324543000006
0,5,SCR_FACE_46,scrambled,286.0463735000012
0,6,SCR_FACE_33,scrambled,286.5615092000007
0,7,SCR_FACE_24,scrambled,287.07328810000035
0,8,SCR_FACE_37,scrambled,287.5868128000002
0,9,SCR_FACE_4,scrambled,288.1008565000011
0,10,SCR_FACE_73,scrambled,288.6137555000005
0,11,SCR_FACE_53,scrambled,289.12547110000014
0,12,SCR_FACE_62,scrambled,289.63888770000085
0,13,SCR_FACE_16,scrambled,290.1515933999999
0,14,SCR_FACE_75,scrambled,290.66654930000004
0,15,SCR_FACE_61,scrambled,291.1800718000013
0,16,SCR_FACE_26,scrambled,291.69317109999974
0,17,SCR_FACE_76,scrambled,292.20646020000095
0,18,SCR_FACE_79,scrambled,292.7197433000001
0,19,SCR_FACE_3,scrambled,293.2327544
0,20,SCR_FACE_80,scrambled,293.7449637000009
0,1,FACE_62,Face,304.2643877999999
0,2,FACE_44,Face,304.77747610000006
0,3,FACE_45,Face,305.29116390000127
0,4,FACE_38,Face,305.80330460000005
0,5,FACE_59,Face,306.31630980000045
0,6,FACE_10,Face,306.8290900000011
0,7,FACE_11,Face,307.343418800001
0,8,FACE_32,Face,307.8558810000013
0,9,FACE_15,Face,308.3686804000008
0,10,FACE_29,Face,308.8821031999996
0,11,FACE_20,Face,309.39579550000053
0,12,FACE_70,Face,309.90967269999965
0,13,FACE_17,Face,310.4224180000001
0,14,FACE_39,Face,310.93528160000096
0,15,FACE_35,Face,311.4481198000012
0,16,FACE_13,Face,311.96067740000035
0,17,FACE_43,Face,312.47472370000105
0,18,FACE_57,Face,312.98834180000085
0,19,FACE_24,Face,313.50219819999984
0,20,FACE_79,Face,314.0150778999996
0,1,SC9,scene,324.5377860000008
0,2,SC74,scene,325.05185019999954
0,3,SC63,scene,325.5653911999998
0,4,SC27,scene,326.0788725000002
0,5,SC16,scene,326.59328600000117
0,6,SC54,scene,327.1076059999996
0,7,SC71,scene,327.620490700001
0,8,SC72,scene,328.13364510000065
0,9,SC4,scene,328.64711890000035
0,10,SC40,scene,329.16086689999975
0,11,SC49,scene,329.67627490000086
0,12,SC77,scene,330.18980550000015
0,13,SC45,scene,330.7021547000004
0,14,SC55,scene,331.2151905999999
0,15,SC62,scene,331.7281402999997
0,16,SC26,scene,332.24143379999987
0,17,SC11,scene,332.7543693000007
0,18,SC51,scene,333.2680916999998
0,19,SC37,scene,333.78038209999977
0,20,SC76,scene,334.2932705000003
0,1,SCR_FACE_28,scrambled,344.81749690000106
0,2,SCR_FACE_8,scrambled,345.3331451000013
0,3,SCR_FACE_50,scrambled,345.84592090000115
0,4,SCR_FACE_23,scrambled,346.35781529999986
0,5,SCR_FACE_19,scrambled,346.87169300000096
0,6,SCR_FACE_18,scrambled,347.38482470000054
0,7,SCR_FACE_10,scrambled,347.8985236999997
0,8,SCR_FACE_17,scrambled,348.41294650000054
0,9,SCR_FACE_22,scrambled,348.9259497000003
0,10,SCR_FACE_70,scrambled,349.43948610000007
0,11,SCR_FACE_45,scrambled,349.95320960000026
0,12,SCR_FACE_58,scrambled,350.4660211999999
0,13,SCR_FACE_65,scrambled,350.9798685000005
0,14,SCR_FACE_24,scrambled,351.49489859999994
0,15,SCR_FACE_5,scrambled,352.0080856000004
0,16,SCR_FACE_73,scrambled,352.5207831000007
0,17,SCR_FACE_3,scrambled,353.03380769999967
0,18,SCR_FACE_32,scrambled,353.547219600001
0,19,SCR_FACE_52,scrambled,354.0612084000004
0,20,SCR_FACE_4,scrambled,354.57526750000034
0,1,FACE_74,Face,365.0964302000011
0,2,FACE_56,Face,365.6101684000005
0,3,FACE_46,Face,366.1251033000008
0,4,FACE_23,Face,366.63715220000086
0,5,FACE_33,Face,367.15202020000106
0,6,FACE_45,Face,367.66636050000125
0,7,FACE_54,Face,368.1785282000001
0,8,FACE_5,Face,368.69236550000096
0,9,FACE_59,Face,369.20681719999993
0,10,FACE_6,Face,369.72129479999967
0,11,FACE_32,Face,370.23445080000056
0,12,FACE_20,Face,370.7491632000001
0,13,FACE_1,Face,371.2619775000003
0,14,FACE_12,Face,371.7751767999998
0,15,FACE_36,Face,372.28814020000027
0,16,FACE_14,Face,372.8025232
0,17,FACE_29,Face,373.31619750000027
0,18,FACE_75,Face,373.8300185999997
0,19,FACE_44,Face,374.34431609999956
0,20,FACE_65,Face,374.8561953999997
0,1,SC69,scene,385.37734790000104
0,2,SC41,scene,385.89165390000016
0,3,SC28,scene,386.4050208000008
0,4,SC58,scene,386.9192378000007
0,5,SC77,scene,387.4331387000002
0,6,SC43,scene,387.9470987000004
0,7,SC2,scene,388.45911139999953
0,8,SC39,scene,388.97093289999975
0,9,SC54,scene,389.48664459999964
0,10,SC6,scene,390.0010734999996
0,11,SC36,scene,390.51538530000107
